,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome
Spreadsheet: PlayerAction,<em><b>Jack</b> notices the skeletons slowly patrolling. ,<em><b>Jack</b> opens the chest.,<em><b>Jack</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,<em><b>Jack</b> steps on the false floor revealing its secrets.,<em><b>Jack</b> tries to shoo them away.,<em><b>Jack</b> turns on their flashlight to illuminate the way forward. ,<em><b>Jamal</b> decides to jump over it.,<em><b>Jamal</b> grabs the talisman.,<em><b>Jamal</b> hides behind a nearby rock formation.,<em><b>Jamal</b> opens the chest.,<em><b>Jamal</b> tethers themselves to a rope and walks across.,"<em>Before proceeding, <b>Jamal</b> rubs their hand along the ground to check for traps."
Participant Private ID,,,,,,,,,,,,
8514861.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8514862.0,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Punish,Reward,Reward
8514865.0,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Reward,Punish,Punish,Punish,Reward
8514866.0,Reward,Punish,Punish,Punish,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Reward
8514867.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8514868.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward
8514869.0,Reward,Reward,Reward,Reward,Punish,Punish,Reward,Reward,Reward,Punish,Reward,Reward
8514870.0,Punish,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Punish,Reward,Reward
8514871.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward
8514872.0,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8514873.0,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Reward
8514874.0,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8514875.0,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Reward
8514876.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Reward,Punish,Reward
8514877.0,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward
8514878.0,Punish,Reward,Reward,Punish,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8514879.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward
8514881.0,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Reward
8514882.0,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Punish,Reward
8514883.0,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Reward,Reward
8514884.0,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Punish,Punish,Reward,Reward,Punish
8514887.0,Punish,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Reward
8514888.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8514897.0,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Reward
8514951.0,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
