Name,Race,Gender
Aaliyiah,Black or African American,Female
Aisha,Black or African American,Female
Jasmine,Black or African American,Female
Kiana,Black or African American,Female
Liyah,Black or African American,Female
Jamal,Black or African American,Male
Deshawn,Black or African American,Male
Jerome,Black or African American,Male
Treyvone,Black or African American,Male
Tyrone,Black or African American,Male
Becky,Caucasian or White American,Female
Charlotte,Caucasian or White American,Female
Emma,Caucasian or White American,Female
Mckensie,Caucasian or White American,Female
Olivia,Caucasian or White American,Female
Brody,Caucasian or White American,Male
Garrett,Caucasian or White American,Male
Ian,Caucasian or White American,Male
Jack,Caucasian or White American,Male
Spencer,Caucasian or White American,Male
Ting,Chinese American,Female
Xinyi,Chinese American,Female
Yihan,Chinese American,Female
Yinuo,Chinese American,Female
Yuxi,Chinese American,Female
Haoran,Chinese American,Male
Haoyu,Chinese American,Male
Mingze,Chinese American,Male
Yize,Chinese American,Male
Muyang,Chinese American,Male
Gabriella,Hispanic or Latino,Female
Lucia,Hispanic or Latino,Female
Magda,Hispanic or Latino,Female
Mariella,Hispanic or Latino,Female
Marisol,Hispanic or Latino,Female
Enrique,Hispanic or Latino,Male
Jose,Hispanic or Latino,Male
Juan,Hispanic or Latino,Male
Pablo,Hispanic or Latino,Male
Ricardo,Hispanic or Latino,Male
