,0,1,2,3,4,5
0,0.3308,0.0069,0.3355,0.381,0.1772,0.1119
1,0.0286,0.0427,0.4664,0.1638,0.4801,0.0
2,0.9959,0.0003,0.091,0.4889,0.0253,0.4159
3,0.808,0.0655,0.3512,0.3844,0.1914,0.1127
4,0.9587,0.0507,0.4305,0.2779,0.0331,0.2691
5,0.6052,0.3229,0.3767,0.153,0.2261,0.2556
6,0.2499,0.475,0.3465,0.0434,0.3391,0.1858
7,0.6639,0.0066,0.3661,0.2665,0.4689,0.3635
8,0.0784,0.4848,0.0975,0.2329,0.0805,0.1985
9,0.9921,0.3469,0.089,0.3788,0.0356,0.0016
10,0.9957,0.0004,0.164,0.0227,0.0391,0.0007
11,0.011,0.3415,0.4297,0.2677,0.0707,0.0069
12,0.0282,0.1075,0.1375,0.0756,0.3911,0.0029
13,0.887,0.0044,0.4228,0.1926,0.3399,0.0056
14,0.0138,0.0075,0.4433,0.155,0.1775,0.0
15,0.1093,0.0929,0.4646,0.1933,0.0393,0.3913
16,0.4829,0.0005,0.1479,0.0442,0.3197,0.05
17,0.5297,0.4969,0.143,0.0395,0.4424,0.0169
18,0.2923,0.5067,0.217,0.0291,0.2519,0.3924
19,0.8335,0.0038,0.2699,0.21,0.3395,0.2809
20,0.879,0.1036,0.4824,0.4858,0.2974,0.1341
21,0.4463,0.2511,0.4373,0.2054,0.4505,0.4266
22,0.9137,0.0079,0.0676,0.2746,0.3455,0.0092
23,0.1855,0.3386,0.2681,0.3237,0.2695,0.4527
24,0.2636,0.3258,0.3233,0.3045,0.4459,0.0381
25,0.7782,0.4109,0.1631,0.2896,0.0928,0.3327
26,0.4347,0.1707,0.4821,0.3047,0.2133,0.4595
27,0.0928,0.4447,0.3938,0.2174,0.2358,0.172
28,0.0728,0.2831,0.0231,0.4047,0.1669,0.216
29,0.4551,0.0,0.0511,0.0116,0.2607,0.0075
30,0.9509,0.0322,0.4463,0.261,0.4325,0.0
31,0.7398,0.2927,0.2128,0.2912,0.4073,0.1669
32,0.8079,0.0488,0.0648,0.3459,0.4735,0.2376
33,0.9202,0.1187,0.2366,0.1901,0.0466,0.1572
34,0.2891,0.1903,0.0056,0.2243,0.1684,0.222
35,0.6084,0.2287,0.1601,0.1238,0.389,0.0854
36,0.9229,0.4658,0.1745,0.2144,0.1188,0.4965
37,0.6373,0.2496,0.2378,0.3756,0.2704,0.4949
38,0.9464,0.1415,0.2913,0.2424,0.0324,0.3516
39,0.864,0.0893,0.3944,0.3416,0.2359,0.1916
40,0.6771,0.4771,0.1126,0.3811,0.3094,0.1523
41,0.4078,0.0161,0.2248,0.0538,0.4996,0.3915
42,0.6997,0.0,0.4809,0.1887,0.0744,0.4684
43,0.0025,0.0091,0.243,0.0395,0.2637,0.0001
44,0.8397,0.1864,0.0401,0.2113,0.2127,0.1098
45,0.7997,0.3337,0.0182,0.3089,0.0876,0.0435
46,0.9818,0.0,0.0196,0.404,0.1134,0.3676
47,0.0012,0.0123,0.4843,0.2941,0.4544,0.0
48,0.9995,0.0039,0.4112,0.4144,0.1382,0.0
49,0.9707,0.4006,0.1738,0.0346,0.3026,0.0
50,0.0001,0.0878,0.091,0.0919,0.2375,0.0
51,0.0121,0.4026,0.0949,0.2824,0.4615,0.0
52,0.9919,0.0842,0.0715,0.1563,0.2086,0.0008
53,0.0002,0.1922,0.2493,0.198,0.347,0.0
54,0.9999,0.0032,0.3598,0.1074,0.3768,0.0
55,0.9666,0.0149,0.2704,0.0832,0.056,0.0256
56,0.909,0.0424,0.0067,0.1459,0.2153,0.0951
57,0.3881,0.0023,0.0615,0.4852,0.3976,0.0206
58,0.9993,0.0,0.2659,0.2421,0.4142,0.0
59,0.0947,0.0341,0.0119,0.3938,0.4421,0.0
60,0.0187,0.4178,0.0172,0.3688,0.4718,0.0
61,0.9897,0.0701,0.0742,0.3242,0.2853,0.0
62,0.9163,0.3774,0.0901,0.1844,0.4067,0.0
63,0.1032,0.0697,0.0077,0.2418,0.4723,0.0
64,0.9985,0.2213,0.1316,0.463,0.2782,0.0
65,0.9997,0.0637,0.2246,0.1003,0.0165,0.0091
66,0.736,0.0395,0.2874,0.1304,0.4765,0.1104
67,0.462,0.1604,0.3838,0.1834,0.2637,0.4314
68,0.9706,0.0861,0.4927,0.1296,0.0612,0.0156
69,0.3383,0.2658,0.3232,0.4304,0.4519,0.4844
70,0.7369,0.0925,0.3349,0.4976,0.4635,0.3448
71,0.2678,0.0051,0.5009,0.0502,0.355,0.2205
72,0.9183,0.3388,0.4896,0.281,0.1075,0.0736
73,0.4374,0.461,0.374,0.1829,0.2908,0.3428
74,0.5329,0.4793,0.1791,0.1929,0.1604,0.412
75,0.9404,0.095,0.3487,0.2495,0.0273,0.4907
76,0.6955,0.48,0.0677,0.3554,0.1868,0.2022
77,0.8026,0.1106,0.439,0.1252,0.1192,0.0121
78,0.6666,0.3277,0.2284,0.3395,0.0422,0.0377
79,0.74,0.3065,0.1601,0.4479,0.0413,0.0539
80,0.0004,0.0738,0.0695,0.0137,0.0002,0.0662
81,0.6864,0.171,0.3178,0.3666,0.4076,0.3686
82,0.5448,0.3538,0.4963,0.4395,0.3551,0.3726
83,0.9573,0.0037,0.0794,0.4341,0.3655,0.0576
84,0.3435,0.2456,0.3642,0.2556,0.1402,0.0934
85,0.8584,0.0391,0.1795,0.1358,0.2727,0.0166
86,0.021,0.2997,0.1323,0.1006,0.0806,0.024
87,0.0847,0.3288,0.1416,0.1699,0.2394,0.0732
88,0.3992,0.2259,0.1714,0.0808,0.3093,0.0077
89,0.3434,0.4161,0.033,0.2002,0.1878,0.0106
90,0.0902,0.0881,0.4074,0.2968,0.3677,0.1001
91,0.317,0.1856,0.0719,0.2952,0.0552,0.0002
92,0.075,0.0,0.0784,0.3847,0.1419,0.0074
93,0.9994,0.0101,0.4618,0.4399,0.0364,0.0019
94,0.9999,0.0217,0.1047,0.2667,0.0223,0.0009
95,0.0,0.0,0.4807,0.2987,0.1956,0.0
96,0.0,0.0081,0.4378,0.1042,0.1185,0.0
97,0.9916,0.006,0.154,0.3428,0.341,0.0038
98,0.0007,0.0031,0.4467,0.2249,0.2807,0.0
99,0.1625,0.047,0.4358,0.1232,0.3736,0.1919
100,0.022,0.0105,0.1421,0.0145,0.3149,0.0242
101,0.944,0.071,0.4867,0.3921,0.4515,0.0001
102,0.9781,0.0108,0.3239,0.3573,0.3291,0.0017
103,0.2289,0.1122,0.4694,0.3361,0.2742,0.3427
104,0.9999,0.0025,0.145,0.1973,0.011,0.0002
105,0.6774,0.0167,0.3505,0.1011,0.3269,0.4335
106,0.0812,0.0125,0.4993,0.0881,0.5059,0.1807
107,0.1457,0.0239,0.274,0.3255,0.4522,0.1126
108,0.5093,0.2367,0.3402,0.4493,0.4572,0.4981
109,0.0636,0.0254,0.43,0.1397,0.2679,0.2594
110,0.0604,0.0379,0.4629,0.4106,0.274,0.0627
111,0.1185,0.0385,0.1629,0.3318,0.4492,0.1001
112,0.419,0.3692,0.2344,0.4567,0.3427,0.1316
113,0.0826,0.0605,0.3535,0.1391,0.4877,0.1238
114,0.5211,0.364,0.369,0.0689,0.2384,0.3488
115,0.1432,0.0073,0.1836,0.2615,0.4332,0.186
116,0.5649,0.1157,0.1846,0.2464,0.3188,0.1173
117,0.3603,0.0347,0.3239,0.2847,0.4396,0.1722
118,0.9223,0.2483,0.2011,0.0407,0.2264,0.2736
119,0.0281,0.0821,0.3635,0.0142,0.3395,0.1956
